PMC1287824	M05000	140	163	AmpliTaq DNA polymerase
PMC2467291	D04000	138	160	thioredoxin peroxidase
PMC2467291	D10000	52	60	elastase
PMC2467291	D10001	78	86	elastase
PMC2467291	R01000	159	185	glutathione-S-transferases
PMC2467291	R01001	55	62	kinases
PMC2467291	R01002	97	137	glyceraldehyde-3-phosphate-dehydrogenase
PMC2467291	R02000	102	110	elastase
PMC2467291	R02001	84	106	thioredoxin peroxidase
PMC2467291	R06000	42	57	serine protease
PMC2577687	I04000	89	104	pyruvate kinase
PMC2577687	R21000	74	84	hexokinase
PMC2679092	D08000	0	25	Pyruvate dehydrogenase E1
PMC2687076	D05000	345	373	glycoprotein metalloprotease
PMC2719288	I41000	47	64	metalloproteinase
PMC2719288	I46000	71	95	guanosine triphosphatase
PMC2719288	I49000	86	114	protein tyrosine phosphatase
PMC2719288	I49001	25	53	protein tyrosine phosphatase
PMC2719288	I54000	158	191	lysine deficient protein kinase 1
PMC2727417	I01000	181	216	methylenetetrahydrofolate reductase
PMC2757939	R12000	41	54	NADPH oxidase
PMC2764366	A01000	183	200	HMG-CoA reductase
PMC2764366	D01000	0	17	HMG-CoA reductase
PMC2772856	M08000	102	112	luciferase
PMC2772856	M08001	17	27	luciferase
PMC2797209	D01000	67	75	protease
PMC2797209	D02000	51	59	protease
PMC2797209	D04000	21	29	protease
PMC2797209	D04001	155	163	protease
PMC2797209	D04002	20	28	protease
PMC2797209	I01000	9	18	proteases
PMC2797209	I01001	82	100	cysteine proteases
PMC2797209	I01002	89	105	serine proteases
PMC2797209	R00000	68	76	protease
PMC2797209	R00001	184	192	protease
PMC2797209	R04000	47	55	protease
PMC2797209	R06000	23	32	proteases
PMC2797209	R07000	57	71	endopeptidases
PMC2797209	R07001	0	10	Proteinase
PMC2826838	R10000	22	34	transaminase
PMC2846615	A00000	163	178	tyrosine kinase
PMC2900891	R00000	119	161	farnesyl-diphosphate farnesyltransferase 1
PMC2928134	I01000	4	29	UDP-glycosyltransferase 1
PMC2947716	R03000	82	90	A-kinase
PMC2947716	R03001	14	22	A-kinase
PMC2947716	R03002	28	44	protein kinase C
PMC2947716	R03003	79	95	protein kinase C
PMC2947716	R03004	65	81	alpha-1 protease
PMC2959149	D05000	32	50	phospholipase C-β1
PMC2998712	D03000	85	105	17-alpha-hydroxylase
PMC2998712	D03001	48	63	17α-hydroxylase
PMC3076530	I01000	17	34	HMG-CoA reductase
PMC3084048	R04000	47	86	peroxisomal trans-2-enoyl-CoA reductase
PMC3088509	D01000	62	87	prostaglandin D2 synthase
PMC3088509	R04000	78	103	prostaglandin D2 synthase
PMC3100175	D03000	61	76	serine protease
PMC3108835	D00000	373	383	esterase D
PMC3108835	D01000	137	147	esterase D
PMC3108835	D03000	52	62	esterase D
PMC3108835	D03001	182	192	esterase D
PMC3108835	R02000	135	155	lysine endopeptidase
PMC3108835	R05000	42	52	esterase D
PMC3108835	R05001	186	196	esterase D
PMC3108835	R05002	18	28	nuclease 1
PMC3108835	R07000	119	129	esterase D
PMC3108835	R07001	211	221	nuclease 1
PMC3108835	R07002	191	201	nuclease 1
PMC3129430	M03000	240	266	aspartate aminotransferase
PMC3129430	R10000	203	215	transaminase
PMC3158568	D01000	4	27	glutamyl aminopeptidase
PMC3158568	D01001	35	44	guanylase
PMC3175321	M11000	155	176	reverse transcriptase
PMC3182105	A00000	11	32	reverse transcriptase
PMC3182105	A00001	132	153	reverse transcriptase
PMC3182105	I00000	11	32	reverse transcriptase
PMC3182105	I00001	393	403	polymerase
PMC3214617	I10000	20	43	cyclin-dependent kinase
PMC3221604	D04000	95	104	integrase
PMC3221604	M02000	166	171	RNase
PMC3221604	M13000	257	266	integrase
PMC3221604	M14000	40	49	integrase
PMC3221604	M14001	55	64	integrase
PMC3221604	M15000	34	43	integrase
PMC3221604	R10000	296	305	integrase
PMC3221604	R10001	52	61	integrase
PMC3224994	D01000	171	187	phospholipase A2
PMC3241912	D03000	47	75	protein tyrosine phosphatase
PMC3249587	M05000	119	131	endonuclease
PMC3254127	M03000	133	145	proteinase K
PMC3254127	M04000	58	68	polymerase
PMC3255724	R03000	170	185	β-glucuronidase
PMC3276286	A00000	6	32	gamma-glutamyl transferase
PMC3276286	I00000	0	26	Gamma-glutamyl transferase
PMC3346154	A00000	100	122	β-carotene oxygenase 1
PMC3346154	R01000	186	196	luciferase
PMC3356921	I01000	263	274	translocase
PMC3358035	M04000	80	90	polymerase
PMC3367131	M01000	59	74	β-galactosidase
PMC3368351	R02000	50	70	alanine transaminase
PMC3426673	M02000	90	105	phopholipase A2
PMC3459464	D01000	11	35	sterol-C4-Methyl oxidase
PMC3486223	M05000	197	211	DNA polymerase
PMC3501717	R04000	362	374	asparaginase
PMC3505013	A00000	213	228	tyrosine kinase
PMC3544159	M10000	200	208	protease
PMC3544159	M11000	0	9	Pronase E
PMC3584211	D02000	60	68	protease
PMC3584211	D03000	113	121	protease
PMC3584211	D03001	62	70	protease
PMC3584211	D04000	55	64	proteases
PMC3584211	D06000	71	79	protease
PMC3584211	D06001	92	101	proteases
PMC3584211	D06002	102	111	proteases
PMC3584211	D06003	113	121	protease
PMC3584211	D07000	149	157	protease
PMC3584211	D07001	60	69	proteases
PMC3584211	D08000	121	130	proteases
PMC3584211	D08001	66	75	proteases
PMC3584211	D09000	50	59	proteases
PMC3584211	I02000	87	96	proteases
PMC3584211	I03000	55	67	exoproteases
PMC3584211	I04000	77	86	proteases
PMC3584211	M05000	34	42	protease
PMC3584211	M06000	31	39	protease
PMC3584211	R00000	17	25	protease
PMC3584211	R00001	101	110	proteases
PMC3584211	R01000	56	65	proteases
PMC3584211	R02000	59	67	protease
PMC3584211	R03000	61	69	protease
PMC3584211	R04000	63	72	proteases
PMC3584211	R05000	66	75	proteases
PMC3584211	R09000	89	98	proteases
PMC3591372	M10000	209	224	myeloperoxidase
PMC3608855	A00000	56	82	aspartate aminotransferase
PMC3608855	I00000	0	26	Aspartate aminotransferase
PMC3608930	D03000	279	289	MAP kinase
PMC3638140	M03000	120	133	Exonuclease I
PMC3638140	M03001	107	119	exonucleases
PMC3638140	M04000	6	17	exonuclease
PMC3638140	M04001	258	268	polymerase
PMC3645730	R07000	72	85	phospholipase
PMC3675060	D04000	27	37	peroxidase
PMC3675060	R02000	62	77	Lactoperoxidase
PMC3682469	D01000	43	75	ubiquinol-cytochrome c reductase
PMC3691205	D06000	57	84	prostate acidic phosphatase
PMC3725073	R15000	106	127	reverse transcriptase
PMC3760386	I00000	0	20	Thymidylate synthase
PMC3780518	A02000	65	82	tyrosine kinase-4
PMC3786343	I06000	75	94	E3 ubiquitin ligase
PMC3810148	D01000	104	120	metalloproteases
PMC3811377	D01000	88	95	DNase I
PMC3811377	D03000	33	38	DNase
PMC3811377	M03000	167	174	DNase I
PMC3811377	R03000	0	7	DNase I
PMC3811377	R03001	22	27	DNase
PMC3811377	R03002	130	137	DNase I
PMC3811377	R05000	21	28	DNase I
PMC3811377	R05001	0	7	DNase I
PMC3811377	R06000	79	86	DNase I
PMC3811377	R07000	53	60	DNase I
PMC3811377	R07001	49	56	DNase I
PMC3811377	R07002	43	50	DNase I
PMC3811377	R09000	34	41	DNase I
PMC3811377	R09001	21	28	DNase I
PMC3811377	R10000	226	231	DNase
PMC3818640	D04000	117	140	cyclin-dependent kinase
PMC3882906	D03000	19	38	deoxyribonuclease 1
PMC3897403	R11000	63	79	serine proteases
PMC3897403	R16000	4	14	Tyr kinase
